"","cell_type","variable","fraction"
"242","uncharacterized cell","V22",0.783717368767966
"243","B cell","V23",0.00453576586633586
"244","Macrophage M1","V23",0
"245","Macrophage M2","V23",0.0100901942065021
"246","Monocyte","V23",0.0529114918381861
"247","Neutrophil","V23",0.127212343791477
"248","NK cell","V23",0.0276902533563405
"249","T cell CD4+ (non-regulatory)","V23",0.00179267884928559
"250","T cell CD8+","V23",0
"251","T cell regulatory (Tregs)","V23",0.00873784867700888
"252","Myeloid dendritic cell","V23",0
"253","uncharacterized cell","V23",0.767029423414864
"254","B cell","V24",0.00188406582033552
"255","Macrophage M1","V24",0.00256251518204309
"256","Macrophage M2","V24",0.0281260122689918
"257","Monocyte","V24",0.0149925071401788
"258","Neutrophil","V24",0.103349719786705
"259","NK cell","V24",0.0234129452990735
"260","T cell CD4+ (non-regulatory)","V24",0.034166866469071
"261","T cell CD8+","V24",0
"262","T cell regulatory (Tregs)","V24",0.00970173655375334
"263","Myeloid dendritic cell","V24",0.0215486227162428
"264","uncharacterized cell","V24",0.760255008763605
"265","B cell","V25",0.00277838542877948
"266","Macrophage M1","V25",0
"267","Macrophage M2","V25",0
"268","Monocyte","V25",0.290390502792288
"269","Neutrophil","V25",0
"270","NK cell","V25",0.111042663978934
"271","T cell CD4+ (non-regulatory)","V25",0.0913172104378446
"272","T cell CD8+","V25",0
"273","T cell regulatory (Tregs)","V25",0.0213334185857168
"274","Myeloid dendritic cell","V25",0.00528746921747035
"275","uncharacterized cell","V25",0.477850349558967
"276","B cell","V26",0.00622004605525777
"277","Macrophage M1","V26",7.41915739627078e-05
"278","Macrophage M2","V26",0.0226379228033387
"279","Monocyte","V26",0.0319120431470625
"280","Neutrophil","V26",0.156896306014041
"281","NK cell","V26",0.0240705367763934
"282","T cell CD4+ (non-regulatory)","V26",0.00544235539640251
"283","T cell CD8+","V26",0.000508465377293945
"284","T cell regulatory (Tregs)","V26",0.00834721550175948
"285","Myeloid dendritic cell","V26",0
"286","uncharacterized cell","V26",0.743890917354488
"287","B cell","V27",0.00278660999687557
"288","Macrophage M1","V27",0
"289","Macrophage M2","V27",0.0156411260872906
"290","Monocyte","V27",0
"291","Neutrophil","V27",0.175808703890775
"292","NK cell","V27",0.0118497217373875
"293","T cell CD4+ (non-regulatory)","V27",0.00325819089740218
"294","T cell CD8+","V27",0
"295","T cell regulatory (Tregs)","V27",0.00376389937421098
"296","Myeloid dendritic cell","V27",0
"297","uncharacterized cell","V27",0.786891748016058
"298","B cell","V28",0
"299","Macrophage M1","V28",0
"300","Macrophage M2","V28",0
"301","Monocyte","V28",0.390848623087161
"302","Neutrophil","V28",0
"303","NK cell","V28",0.135968586028031
"304","T cell CD4+ (non-regulatory)","V28",0.0416344206863611
"305","T cell CD8+","V28",0
"306","T cell regulatory (Tregs)","V28",0.0283522580203118
"307","Myeloid dendritic cell","V28",0
"308","uncharacterized cell","V28",0.403196112178135
"309","B cell","V29",0.00358891805329271
"310","Macrophage M1","V29",0
"311","Macrophage M2","V29",0.00567277076488106
"312","Monocyte","V29",0.111898483123868
"313","Neutrophil","V29",0.118657274784817
"314","NK cell","V29",0.0494092890836417
"315","T cell CD4+ (non-regulatory)","V29",0.00671181464486586
"316","T cell CD8+","V29",0
"317","T cell regulatory (Tregs)","V29",0.0149143763463275
"318","Myeloid dendritic cell","V29",0
"319","uncharacterized cell","V29",0.689147073198306
"320","B cell","V30",0.00234379746311863
"321","Macrophage M1","V30",0
"322","Macrophage M2","V30",0.00852752377301969
"323","Monocyte","V30",0
"324","Neutrophil","V30",0.0824419920424697
"325","NK cell","V30",0.00608083146766428
"326","T cell CD4+ (non-regulatory)","V30",0
"327","T cell CD8+","V30",0
"328","T cell regulatory (Tregs)","V30",0.00268506873392371
"329","Myeloid dendritic cell","V30",0
"330","uncharacterized cell","V30",0.897920786519804
"331","B cell","V31",0.00833861331050749
"332","Macrophage M1","V31",0
"333","Macrophage M2","V31",0.0250186674158303
"334","Monocyte","V31",0.0196769146989012
"335","Neutrophil","V31",0.0984822058258938
"336","NK cell","V31",0.0196140856385395
"337","T cell CD4+ (non-regulatory)","V31",0
"338","T cell CD8+","V31",0
"339","T cell regulatory (Tregs)","V31",0.00263484326463621
"340","Myeloid dendritic cell","V31",0.0102812463154625
"341","uncharacterized cell","V31",0.815953423530229
"342","B cell","V32",0.00597764779799665
"343","Macrophage M1","V32",0.00517086896599339
"344","Macrophage M2","V32",0.0399725969738668
"345","Monocyte","V32",0.0300869590097496
"346","Neutrophil","V32",0.0403353211827836
"347","NK cell","V32",0.0239614393052572
"348","T cell CD4+ (non-regulatory)","V32",0.00983649642058041
"349","T cell CD8+","V32",0.00290579949598819
"350","T cell regulatory (Tregs)","V32",0.00958430598009319
"351","Myeloid dendritic cell","V32",0.0129420558462606
"352","uncharacterized cell","V32",0.81922650902143
"353","B cell","V33",0.00948683509486892
"354","Macrophage M1","V33",0
"355","Macrophage M2","V33",0.0341702231505353
"356","Monocyte","V33",0.0397116119310653
"357","Neutrophil","V33",0.0308611375211811
"358","NK cell","V33",0.02796428792663
"359","T cell CD4+ (non-regulatory)","V33",0
"360","T cell CD8+","V33",0
"361","T cell regulatory (Tregs)","V33",0.0104708123320528
"362","Myeloid dendritic cell","V33",0.0219222854615904
"363","uncharacterized cell","V33",0.825412806582076
